agegroup,gender,region,cancer,value,year
05-,F,Belgium,Malignant melanoma of skin,1,2015
05-,F,Belgium,Malignant neoplasms of skin,1,2015
05-,F,Belgium,Mesothelioma,-,2015
05-,F,Belgium,Kaposi's sarcoma,-,2015
05-,F,Belgium,Soft tissues,-,2015
05-,F,Belgium,Retroperitoneum and peritoneum,-,2015
05-,F,Belgium,Breast,-,2015
05-,F,Belgium,Vulva,-,2015
05-,F,Belgium,Vagina,-,2015
05-,F,Belgium,Cervix uteri,-,2015
05-,F,Belgium,Corpus uteri,-,2015
05-,F,Belgium,Uterus,-,2015
05-,F,Belgium,Ovary,1,2015
05-,F,Belgium,"Female genital organs, NOS",-,2015
05-,F,Belgium,Placenta,-,2015
05-,F,Belgium,Kidney,-,2015
05-,F,Belgium,Renal pelvis,-,2015
05-,F,Belgium,Ureter,-,2015
05-,F,Belgium,Bladder,-,2015
05-,F,Belgium,"Urinary organs, NOS",-,2015
05-,F,Belgium,Eye and adnexa,1,2015
05-,F,Belgium,Meninges,-,2015
05-,F,Belgium,Brain,5,2015
05-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",1,2015
05-,F,Belgium,Thyroid gland,-,2015
05-,F,Belgium,Adrenal gland,-,2015
05-,F,Belgium,"Endocrine glands, NOS",-,2015
05-,F,Belgium,Hodgkin's disease,2,2015
05-,F,Belgium,Non-Hodgkin-lymphoma,1,2015
05-,F,Belgium,Malignant immunoproliferative diseases,-,2015
05-,F,Belgium,Multiple myeloma,-,2015
05-,F,Belgium,Lymphoid leukaemia,8,2015
05-,F,Belgium,Myeloid leukaemia,2,2015
05-,F,Belgium,Monocytic leukaemia,-,2015
05-,F,Belgium,Leukaemia other,1,2015
05-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
05-,F,Belgium,Other and ill-defined sites,-,2015
05-,F,Belgium,Unknown primary site,-,2015
05-,F,Belgium,Myeloproliferative Disorders,-,2015
05-,F,Belgium,Myelodysplastic syndromes,2,2015
10-,F,Belgium,Lip,-,2015
10-,F,Belgium,Base of tongue,-,2015
10-,F,Belgium,Tongue,-,2015
10-,F,Belgium,Gum,-,2015
10-,F,Belgium,Floor of mouth,-,2015
10-,F,Belgium,Palate,-,2015
10-,F,Belgium,"Mouth, NOS",-,2015
10-,F,Belgium,Parotid gland,-,2015
10-,F,Belgium,"Salivary glands, NOS",-,2015
10-,F,Belgium,Tonsil,-,2015
10-,F,Belgium,Oropharynx,-,2015
10-,F,Belgium,Nasopharynx,-,2015
10-,F,Belgium,Pyriform sinus,-,2015
10-,F,Belgium,Hypopharynx,-,2015
10-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
10-,F,Belgium,Oesophagus,-,2015
10-,F,Belgium,Stomach,-,2015
10-,F,Belgium,Small intestine,-,2015
10-,F,Belgium,Colon,3,2015
10-,F,Belgium,Rectosigmoid junction,-,2015
10-,F,Belgium,Rectum,-,2015
10-,F,Belgium,Anus and anal canal,-,2015
10-,F,Belgium,Liver and intrahepatic bile ducts,-,2015
10-,F,Belgium,Gallbladder,-,2015
10-,F,Belgium,"Biliary tract, NOS",-,2015
10-,F,Belgium,Pancreas,2,2015
10-,F,Belgium,Other ill-defined digestive organs,-,2015
10-,F,Belgium,Nasal cavity and middle ear,-,2015
10-,F,Belgium,Accessory sinuses,-,2015
10-,F,Belgium,Larynx,-,2015
10-,F,Belgium,Trachea,-,2015
10-,F,Belgium,Bronchus and lung,-,2015
10-,F,Belgium,Thymus,-,2015
10-,F,Belgium,"Heart, mediastinum and pleura",-,2015
10-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
10-,F,Belgium,Bone and articular cartilage of limbs,1,2015
10-,F,Belgium,"Bone and articular cartilage, NOS",3,2015
10-,F,Belgium,Malignant melanoma of skin,-,2015
10-,F,Belgium,Malignant neoplasms of skin,-,2015
10-,F,Belgium,Mesothelioma,-,2015
10-,F,Belgium,Kaposi's sarcoma,-,2015
10-,F,Belgium,Soft tissues,1,2015
10-,F,Belgium,Retroperitoneum and peritoneum,-,2015
10-,F,Belgium,Breast,-,2015
10-,F,Belgium,Vulva,-,2015
10-,F,Belgium,Vagina,-,2015
10-,F,Belgium,Cervix uteri,-,2015
10-,F,Belgium,Corpus uteri,-,2015
10-,F,Belgium,Uterus,-,2015
10-,F,Belgium,Ovary,1,2015
10-,F,Belgium,"Female genital organs, NOS",-,2015
10-,F,Belgium,Placenta,-,2015
10-,F,Belgium,Kidney,-,2015
10-,F,Belgium,Renal pelvis,-,2015
10-,F,Belgium,Ureter,-,2015
10-,F,Belgium,Bladder,-,2015
10-,F,Belgium,"Urinary organs, NOS",-,2015
10-,F,Belgium,Eye and adnexa,-,2015
10-,F,Belgium,Meninges,-,2015
10-,F,Belgium,Brain,4,2015
10-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
10-,F,Belgium,Thyroid gland,2,2015
10-,F,Belgium,Adrenal gland,-,2015
10-,F,Belgium,"Endocrine glands, NOS",-,2015
10-,F,Belgium,Hodgkin's disease,4,2015
10-,F,Belgium,Non-Hodgkin-lymphoma,1,2015
10-,F,Belgium,Malignant immunoproliferative diseases,-,2015
10-,F,Belgium,Multiple myeloma,-,2015
10-,F,Belgium,Lymphoid leukaemia,4,2015
10-,F,Belgium,Myeloid leukaemia,2,2015
10-,F,Belgium,Monocytic leukaemia,-,2015
10-,F,Belgium,Leukaemia other,-,2015
10-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",-,2015
10-,F,Belgium,Other and ill-defined sites,-,2015
10-,F,Belgium,Unknown primary site,-,2015
10-,F,Belgium,Myeloproliferative Disorders,-,2015
10-,F,Belgium,Myelodysplastic syndromes,-,2015
15-,F,Belgium,Lip,-,2015
15-,F,Belgium,Base of tongue,-,2015
15-,F,Belgium,Tongue,-,2015
15-,F,Belgium,Gum,-,2015
15-,F,Belgium,Floor of mouth,-,2015
15-,F,Belgium,Palate,-,2015
15-,F,Belgium,"Mouth, NOS",-,2015
15-,F,Belgium,Parotid gland,-,2015
15-,F,Belgium,"Salivary glands, NOS",-,2015
15-,F,Belgium,Tonsil,-,2015
15-,F,Belgium,Oropharynx,-,2015
15-,F,Belgium,Nasopharynx,-,2015
15-,F,Belgium,Pyriform sinus,-,2015
15-,F,Belgium,Hypopharynx,-,2015
15-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
15-,F,Belgium,Oesophagus,-,2015
15-,F,Belgium,Stomach,-,2015
15-,F,Belgium,Small intestine,-,2015
15-,F,Belgium,Colon,7,2015
15-,F,Belgium,Rectosigmoid junction,-,2015
15-,F,Belgium,Rectum,-,2015
15-,F,Belgium,Anus and anal canal,-,2015
15-,F,Belgium,Liver and intrahepatic bile ducts,-,2015
15-,F,Belgium,Gallbladder,-,2015
15-,F,Belgium,"Biliary tract, NOS",-,2015
15-,F,Belgium,Pancreas,-,2015
15-,F,Belgium,Other ill-defined digestive organs,-,2015
15-,F,Belgium,Nasal cavity and middle ear,-,2015
15-,F,Belgium,Accessory sinuses,1,2015
15-,F,Belgium,Larynx,-,2015
15-,F,Belgium,Trachea,-,2015
15-,F,Belgium,Bronchus and lung,1,2015
15-,F,Belgium,Thymus,-,2015
15-,F,Belgium,"Heart, mediastinum and pleura",-,2015
15-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
15-,F,Belgium,Bone and articular cartilage of limbs,1,2015
15-,F,Belgium,"Bone and articular cartilage, NOS",1,2015
15-,F,Belgium,Malignant melanoma of skin,7,2015
15-,F,Belgium,Malignant neoplasms of skin,1,2015
15-,F,Belgium,Mesothelioma,-,2015
15-,F,Belgium,Kaposi's sarcoma,-,2015
15-,F,Belgium,Soft tissues,2,2015
15-,F,Belgium,Retroperitoneum and peritoneum,-,2015
15-,F,Belgium,Breast,1,2015
15-,F,Belgium,Vulva,-,2015
15-,F,Belgium,Vagina,-,2015
15-,F,Belgium,Cervix uteri,-,2015
15-,F,Belgium,Corpus uteri,-,2015
15-,F,Belgium,Uterus,-,2015
15-,F,Belgium,Ovary,5,2015
15-,F,Belgium,"Female genital organs, NOS",-,2015
15-,F,Belgium,Placenta,-,2015
15-,F,Belgium,Kidney,2,2015
15-,F,Belgium,Renal pelvis,-,2015
15-,F,Belgium,Ureter,-,2015
15-,F,Belgium,Bladder,-,2015
15-,F,Belgium,"Urinary organs, NOS",-,2015
15-,F,Belgium,Eye and adnexa,-,2015
15-,F,Belgium,Meninges,-,2015
15-,F,Belgium,Brain,5,2015
15-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",1,2015
15-,F,Belgium,Thyroid gland,9,2015
15-,F,Belgium,Adrenal gland,-,2015
15-,F,Belgium,"Endocrine glands, NOS",1,2015
15-,F,Belgium,Hodgkin's disease,15,2015
15-,F,Belgium,Non-Hodgkin-lymphoma,4,2015
15-,F,Belgium,Malignant immunoproliferative diseases,-,2015
15-,F,Belgium,Multiple myeloma,-,2015
15-,F,Belgium,Lymphoid leukaemia,2,2015
15-,F,Belgium,Myeloid leukaemia,4,2015
15-,F,Belgium,Monocytic leukaemia,1,2015
15-,F,Belgium,Leukaemia other,-,2015
15-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
15-,F,Belgium,Other and ill-defined sites,-,2015
15-,F,Belgium,Unknown primary site,-,2015
15-,F,Belgium,Myeloproliferative Disorders,-,2015
15-,F,Belgium,Myelodysplastic syndromes,1,2015
20-,F,Belgium,Lip,-,2015
20-,F,Belgium,Base of tongue,-,2015
20-,F,Belgium,Tongue,-,2015
20-,F,Belgium,Gum,-,2015
20-,F,Belgium,Floor of mouth,-,2015
20-,F,Belgium,Palate,2,2015
20-,F,Belgium,"Mouth, NOS",1,2015
20-,F,Belgium,Parotid gland,-,2015
20-,F,Belgium,"Salivary glands, NOS",-,2015
20-,F,Belgium,Tonsil,-,2015
20-,F,Belgium,Oropharynx,-,2015
20-,F,Belgium,Nasopharynx,-,2015
20-,F,Belgium,Pyriform sinus,-,2015
20-,F,Belgium,Hypopharynx,-,2015
20-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
20-,F,Belgium,Oesophagus,-,2015
20-,F,Belgium,Stomach,-,2015
20-,F,Belgium,Small intestine,-,2015
20-,F,Belgium,Colon,8,2015
20-,F,Belgium,Rectosigmoid junction,-,2015
20-,F,Belgium,Rectum,1,2015
20-,F,Belgium,Anus and anal canal,-,2015
20-,F,Belgium,Liver and intrahepatic bile ducts,1,2015
20-,F,Belgium,Gallbladder,-,2015
20-,F,Belgium,"Biliary tract, NOS",-,2015
20-,F,Belgium,Pancreas,4,2015
20-,F,Belgium,Other ill-defined digestive organs,-,2015
20-,F,Belgium,Nasal cavity and middle ear,-,2015
20-,F,Belgium,Accessory sinuses,-,2015
20-,F,Belgium,Larynx,-,2015
20-,F,Belgium,Trachea,-,2015
20-,F,Belgium,Bronchus and lung,-,2015
20-,F,Belgium,Thymus,-,2015
20-,F,Belgium,"Heart, mediastinum and pleura",-,2015
20-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
20-,F,Belgium,Bone and articular cartilage of limbs,2,2015
20-,F,Belgium,"Bone and articular cartilage, NOS",1,2015
20-,F,Belgium,Malignant melanoma of skin,25,2015
20-,F,Belgium,Malignant neoplasms of skin,6,2015
20-,F,Belgium,Mesothelioma,-,2015
20-,F,Belgium,Kaposi's sarcoma,-,2015
20-,F,Belgium,Soft tissues,1,2015
20-,F,Belgium,Retroperitoneum and peritoneum,-,2015
20-,F,Belgium,Breast,9,2015
20-,F,Belgium,Vulva,-,2015
20-,F,Belgium,Vagina,-,2015
20-,F,Belgium,Cervix uteri,1,2015
20-,F,Belgium,Corpus uteri,-,2015
20-,F,Belgium,Uterus,-,2015
20-,F,Belgium,Ovary,6,2015
20-,F,Belgium,"Female genital organs, NOS",-,2015
20-,F,Belgium,Placenta,-,2015
20-,F,Belgium,Kidney,-,2015
20-,F,Belgium,Renal pelvis,-,2015
20-,F,Belgium,Ureter,-,2015
20-,F,Belgium,Bladder,-,2015
20-,F,Belgium,"Urinary organs, NOS",-,2015
20-,F,Belgium,Eye and adnexa,-,2015
20-,F,Belgium,Meninges,-,2015
20-,F,Belgium,Brain,9,2015
20-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
20-,F,Belgium,Thyroid gland,20,2015
20-,F,Belgium,Adrenal gland,-,2015
20-,F,Belgium,"Endocrine glands, NOS",2,2015
20-,F,Belgium,Hodgkin's disease,28,2015
20-,F,Belgium,Non-Hodgkin-lymphoma,9,2015
20-,F,Belgium,Malignant immunoproliferative diseases,-,2015
20-,F,Belgium,Multiple myeloma,-,2015
20-,F,Belgium,Lymphoid leukaemia,8,2015
20-,F,Belgium,Myeloid leukaemia,5,2015
20-,F,Belgium,Monocytic leukaemia,-,2015
20-,F,Belgium,Leukaemia other,-,2015
20-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
20-,F,Belgium,Other and ill-defined sites,-,2015
20-,F,Belgium,Unknown primary site,-,2015
20-,F,Belgium,Myeloproliferative Disorders,1,2015
20-,F,Belgium,Myelodysplastic syndromes,1,2015
25-,F,Belgium,Lip,-,2015
25-,F,Belgium,Base of tongue,-,2015
25-,F,Belgium,Tongue,-,2015
25-,F,Belgium,Gum,-,2015
25-,F,Belgium,Floor of mouth,-,2015
25-,F,Belgium,Palate,-,2015
25-,F,Belgium,"Mouth, NOS",-,2015
25-,F,Belgium,Parotid gland,-,2015
25-,F,Belgium,"Salivary glands, NOS",1,2015
25-,F,Belgium,Tonsil,-,2015
25-,F,Belgium,Oropharynx,-,2015
25-,F,Belgium,Nasopharynx,2,2015
25-,F,Belgium,Pyriform sinus,-,2015
25-,F,Belgium,Hypopharynx,-,2015
25-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
25-,F,Belgium,Oesophagus,-,2015
25-,F,Belgium,Stomach,2,2015
25-,F,Belgium,Small intestine,-,2015
25-,F,Belgium,Colon,16,2015
25-,F,Belgium,Rectosigmoid junction,-,2015
25-,F,Belgium,Rectum,2,2015
25-,F,Belgium,Anus and anal canal,-,2015
25-,F,Belgium,Liver and intrahepatic bile ducts,-,2015
25-,F,Belgium,Gallbladder,-,2015
25-,F,Belgium,"Biliary tract, NOS",1,2015
25-,F,Belgium,Pancreas,1,2015
25-,F,Belgium,Other ill-defined digestive organs,-,2015
25-,F,Belgium,Nasal cavity and middle ear,-,2015
25-,F,Belgium,Accessory sinuses,-,2015
25-,F,Belgium,Larynx,-,2015
25-,F,Belgium,Trachea,-,2015
25-,F,Belgium,Bronchus and lung,3,2015
25-,F,Belgium,Thymus,1,2015
25-,F,Belgium,"Heart, mediastinum and pleura",-,2015
25-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
25-,F,Belgium,Bone and articular cartilage of limbs,-,2015
25-,F,Belgium,"Bone and articular cartilage, NOS",-,2015
25-,F,Belgium,Malignant melanoma of skin,61,2015
25-,F,Belgium,Malignant neoplasms of skin,9,2015
25-,F,Belgium,Mesothelioma,-,2015
25-,F,Belgium,Kaposi's sarcoma,-,2015
25-,F,Belgium,Soft tissues,4,2015
25-,F,Belgium,Retroperitoneum and peritoneum,-,2015
25-,F,Belgium,Breast,40,2015
25-,F,Belgium,Vulva,3,2015
25-,F,Belgium,Vagina,1,2015
25-,F,Belgium,Cervix uteri,25,2015
25-,F,Belgium,Corpus uteri,-,2015
25-,F,Belgium,Uterus,-,2015
25-,F,Belgium,Ovary,7,2015
25-,F,Belgium,"Female genital organs, NOS",1,2015
25-,F,Belgium,Placenta,1,2015
25-,F,Belgium,Kidney,2,2015
25-,F,Belgium,Renal pelvis,-,2015
25-,F,Belgium,Ureter,-,2015
25-,F,Belgium,Bladder,-,2015
25-,F,Belgium,"Urinary organs, NOS",-,2015
25-,F,Belgium,Eye and adnexa,1,2015
25-,F,Belgium,Meninges,-,2015
25-,F,Belgium,Brain,8,2015
25-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
25-,F,Belgium,Thyroid gland,38,2015
25-,F,Belgium,Adrenal gland,2,2015
25-,F,Belgium,"Endocrine glands, NOS",1,2015
25-,F,Belgium,Hodgkin's disease,21,2015
25-,F,Belgium,Non-Hodgkin-lymphoma,9,2015
25-,F,Belgium,Malignant immunoproliferative diseases,2,2015
25-,F,Belgium,Multiple myeloma,1,2015
25-,F,Belgium,Lymphoid leukaemia,2,2015
25-,F,Belgium,Myeloid leukaemia,8,2015
25-,F,Belgium,Monocytic leukaemia,3,2015
25-,F,Belgium,Leukaemia other,1,2015
25-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",-,2015
25-,F,Belgium,Other and ill-defined sites,-,2015
25-,F,Belgium,Unknown primary site,-,2015
25-,F,Belgium,Myeloproliferative Disorders,2,2015
25-,F,Belgium,Myelodysplastic syndromes,2,2015
30-,F,Belgium,Lip,-,2015
30-,F,Belgium,Base of tongue,-,2015
30-,F,Belgium,Tongue,-,2015
30-,F,Belgium,Gum,-,2015
30-,F,Belgium,Floor of mouth,-,2015
30-,F,Belgium,Palate,-,2015
30-,F,Belgium,"Mouth, NOS",-,2015
30-,F,Belgium,Parotid gland,2,2015
30-,F,Belgium,"Salivary glands, NOS",-,2015
30-,F,Belgium,Tonsil,-,2015
30-,F,Belgium,Oropharynx,-,2015
30-,F,Belgium,Nasopharynx,2,2015
30-,F,Belgium,Pyriform sinus,-,2015
30-,F,Belgium,Hypopharynx,-,2015
30-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
30-,F,Belgium,Oesophagus,1,2015
30-,F,Belgium,Stomach,1,2015
30-,F,Belgium,Small intestine,-,2015
30-,F,Belgium,Colon,16,2015
30-,F,Belgium,Rectosigmoid junction,-,2015
30-,F,Belgium,Rectum,5,2015
30-,F,Belgium,Anus and anal canal,-,2015
30-,F,Belgium,Liver and intrahepatic bile ducts,1,2015
30-,F,Belgium,Gallbladder,-,2015
30-,F,Belgium,"Biliary tract, NOS",-,2015
30-,F,Belgium,Pancreas,5,2015
30-,F,Belgium,Other ill-defined digestive organs,-,2015
30-,F,Belgium,Nasal cavity and middle ear,-,2015
30-,F,Belgium,Accessory sinuses,1,2015
30-,F,Belgium,Larynx,-,2015
30-,F,Belgium,Trachea,-,2015
30-,F,Belgium,Bronchus and lung,4,2015
30-,F,Belgium,Thymus,-,2015
30-,F,Belgium,"Heart, mediastinum and pleura",-,2015
30-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
30-,F,Belgium,Bone and articular cartilage of limbs,-,2015
30-,F,Belgium,"Bone and articular cartilage, NOS",1,2015
30-,F,Belgium,Malignant melanoma of skin,72,2015
30-,F,Belgium,Malignant neoplasms of skin,8,2015
30-,F,Belgium,Mesothelioma,-,2015
30-,F,Belgium,Kaposi's sarcoma,-,2015
30-,F,Belgium,Soft tissues,2,2015
30-,F,Belgium,Retroperitoneum and peritoneum,-,2015
30-,F,Belgium,Breast,141,2015
30-,F,Belgium,Vulva,3,2015
30-,F,Belgium,Vagina,1,2015
30-,F,Belgium,Cervix uteri,44,2015
30-,F,Belgium,Corpus uteri,2,2015
30-,F,Belgium,Uterus,-,2015
30-,F,Belgium,Ovary,6,2015
30-,F,Belgium,"Female genital organs, NOS",-,2015
30-,F,Belgium,Placenta,-,2015
30-,F,Belgium,Kidney,6,2015
30-,F,Belgium,Renal pelvis,-,2015
30-,F,Belgium,Ureter,-,2015
30-,F,Belgium,Bladder,-,2015
30-,F,Belgium,"Urinary organs, NOS",-,2015
30-,F,Belgium,Eye and adnexa,-,2015
30-,F,Belgium,Meninges,-,2015
30-,F,Belgium,Brain,9,2015
30-,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",2,2015
30-,F,Belgium,Thyroid gland,49,2015
30-,F,Belgium,Adrenal gland,1,2015
30-,F,Belgium,"Endocrine glands, NOS",-,2015
30-,F,Belgium,Hodgkin's disease,14,2015
30-,F,Belgium,Non-Hodgkin-lymphoma,9,2015
30-,F,Belgium,Malignant immunoproliferative diseases,2,2015
30-,F,Belgium,Multiple myeloma,-,2015
30-,F,Belgium,Lymphoid leukaemia,1,2015
30-,F,Belgium,Myeloid leukaemia,4,2015
30-,F,Belgium,Monocytic leukaemia,-,2015
30-,F,Belgium,Leukaemia other,1,2015
30-,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
30-,F,Belgium,Other and ill-defined sites,-,2015
30-,F,Belgium,Unknown primary site,-,2015
30-,F,Belgium,Myeloproliferative Disorders,5,2015
30-,F,Belgium,Myelodysplastic syndromes,4,2015
35-,F,Belgium,Lip,-,2015
35-,F,Belgium,Base of tongue,2,2015
35-,F,Belgium,Tongue,2,2015
35-,F,Belgium,Gum,-,2015
35-,F,Belgium,Floor of mouth,-,2015
35-,F,Belgium,Palate,-,2015
35-,F,Belgium,"Mouth, NOS",1,2015
35-,F,Belgium,Parotid gland,2,2015
35-,F,Belgium,"Salivary glands, NOS",-,2015
35-,F,Belgium,Tonsil,-,2015
35-,F,Belgium,Oropharynx,-,2015
35-,F,Belgium,Nasopharynx,2,2015
35-,F,Belgium,Pyriform sinus,-,2015
35-,F,Belgium,Hypopharynx,-,2015
35-,F,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
35-,F,Belgium,Oesophagus,1,2015
35-,F,Belgium,Stomach,8,2015
35-,F,Belgium,Small intestine,9,2015
35-,F,Belgium,Colon,23,2015
35-,F,Belgium,Rectosigmoid junction,-,2015
35-,F,Belgium,Rectum,9,2015
35-,F,Belgium,Anus and anal canal,1,2015
35-,F,Belgium,Liver and intrahepatic bile ducts,-,2015
35-,F,Belgium,Gallbladder,-,2015
35-,F,Belgium,"Biliary tract, NOS",-,2015
35-,F,Belgium,Pancreas,8,2015
35-,F,Belgium,Other ill-defined digestive organs,1,2015
35-,F,Belgium,Nasal cavity and middle ear,3,2015
35-,F,Belgium,Accessory sinuses,-,2015
35-,F,Belgium,Larynx,2,2015
35-,F,Belgium,Trachea,-,2015
35-,F,Belgium,Bronchus and lung,8,2015
35-,F,Belgium,Thymus,1,2015
35-,F,Belgium,"Heart, mediastinum and pleura",-,2015
35-,F,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
35-,F,Belgium,Bone and articular cartilage of limbs,1,2015
35-,F,Belgium,"Bone and articular cartilage, NOS",-,2015
35-,F,Belgium,Malignant melanoma of skin,76,2015
